Name of the game,Fit platform,Num Of comments,Num Of likes,Raiting,Grade,Num of pros,Num of cons,First Released,The game rviewer,The date of the review
NASCAR 2011: The Game Review,WII,0,1,Poor,4,2.0,3.0,,"
    Kevin VanOrd
  ","May 25, 2011 at 5:43PM PDT"
Kung Fu Panda 2: The Video Game Review,X360,0,2,Bad,3.5,1.0,2.0,,"
    Tom Mc Shea
  ","May 25, 2011 at 5:42PM PDT"
Faery: Legends of Avalon Review,PC,1,0,Poor,4.5,2.0,4.0,,"
    Kevin VanOrd
  ","May 24, 2011 at 3:25PM PDT"
Dead or Alive: Dimensions Review,3DS,0,0,Good,7.5,4.0,3.0,"May 24, 2011","
    Mark Walton
  ","May 24, 2011 at 9:42AM PDT"
The Witcher 2: Assassins of Kings Review,PC,57,36,Superb,9,5.0,3.0,"May 17, 2011","
    Kevin VanOrd
  ","May 23, 2011 at 7:32PM PDT"
DiRT 3 Review,X360,5,28,Superb,9,5.0,1.0,"May 23, 2011","
    Justin Calvert
  ","May 23, 2011 at 5:48PM PDT"
AFL Live Review,PS3,0,0,Fair,6.5,2.0,4.0,,"
    Gamespot Staff
  ","May 22, 2011 at 5:22PM PDT"
Fable III Review,PC,6,2,Good,7,3.0,2.0,"Oct 26, 2010","
    Tom Mc Shea
  ","May 20, 2011 at 6:52PM PDT"
Sega Rally Online Arcade Review,X360,0,3,Good,7,3.0,1.0,,"
    Joseph Barron
  ","May 20, 2011 at 1:48PM PDT"
The First Templar Review,PC,0,8,Good,7,5.0,2.0,"May 12, 2011","
    Tom Mc Shea
  ","May 18, 2011 at 6:28PM PDT"
Dream Trigger 3D Review,3DS,0,0,Fair,6,3.0,2.0,,"
    Chris Watters
  ","May 18, 2011 at 6:22PM PDT"
Star Raiders Review,X360,0,4,Bad,3,1.0,4.0,,"
    Carolyn Petit
  ","May 18, 2011 at 6:10PM PDT"
Virtua Tennis 4 Review,PS3,0,0,Mediocre,5.5,2.0,4.0,,"
    Mark Walton
  ","May 17, 2011 at 5:56PM PDT"
Virtua Tennis 4 Review,X360,0,6,Mediocre,5.5,2.0,4.0,,"
    Mark Walton
  ","May 17, 2011 at 7:25AM PDT"
MX vs. ATV Alive Review,PS3,0,9,Fair,6.5,3.0,3.0,"May 10, 2011","
    Justin Calvert
  ","May 16, 2011 at 6:41PM PDT"
MX vs. ATV Alive Review,X360,1,2,Fair,6.5,3.0,3.0,"May 10, 2011","
    Justin Calvert
  ","May 16, 2011 at 6:41PM PDT"
Brink Review,PS3,2,1,Fair,6,4.0,5.0,,"
    Chris Watters
  ","May 16, 2011 at 5:53PM PDT"
L.A. Noire Review,PS3,4,9,Superb,9,5.0,3.0,"May 17, 2011","
    Carolyn Petit
  ","May 16, 2011 at 9:00AM PDT"
L.A. Noire Review,X360,4,21,Superb,9,5.0,3.0,"May 17, 2011","
    Carolyn Petit
  ","May 16, 2011 at 9:00AM PDT"
AFL Live Review,X360,0,0,Fair,6.5,2.0,4.0,,"
    Randolph Ramsay
  ","May 15, 2011 at 6:30PM PDT"
Hydrophobia Prophecy Review,PC,6,3,Good,7.5,2.0,2.0,,"
    Joseph Barron
  ","May 13, 2011 at 6:48PM PDT"
Mount & Blade: With Fire & Sword Review,PC,2,22,Good,7.5,4.0,2.0,,"
    Brett Todd
  ","May 13, 2011 at 6:07PM PDT"
The Legend of Heroes: Trails in the Sky Review,PSP,5,26,Great,8,4.0,1.0,,"
    Shiva Stella
  ","May 13, 2011 at 6:03PM PDT"
Thor: God of Thunder Review,WII,0,1,Mediocre,5.5,2.0,1.0,,"
    Tom Mc Shea
  ","May 12, 2011 at 6:05PM PDT"
Gatling Gears Review,X360,1,1,Good,7.5,3.0,2.0,,"
    Heidi Kemps
  ","May 12, 2011 at 5:38PM PDT"
Garshasp: The Monster Slayer Review,PC,9,4,Mediocre,5,4.0,5.0,"May 9, 2011","
    Kevin VanOrd
  ","May 12, 2011 at 5:17PM PDT"
Hydrophobia Review,X360,0,2,Fair,6.5,3.0,3.0,,"
    Joseph Barron
  ","May 12, 2011 at 2:17PM PDT"
Brink Review,PC,0,3,Fair,6,4.0,4.0,"May 9, 2011","
    Chris Watters
  ","May 11, 2011 at 6:46PM PDT"
LEGO Pirates of the Caribbean: The Video Game Review,3DS,0,1,Fair,6,3.0,5.0,,"
    Kevin VanOrd
  ","May 11, 2011 at 6:11PM PDT"
Back to the Future: The Game - Episode 1: It's About Time Review,PS3,0,1,Good,7.5,3.0,2.0,,"
    Nathan Meunier
  ","May 11, 2011 at 3:29PM PDT"
SBK 2011 Review,X360,0,6,Great,8,3.0,2.0,,"
    Joseph Barron
  ","May 11, 2011 at 2:50PM PDT"
Lego Pirates of the Caribbean: The Video Game Review,PSP,0,1,Fair,6,3.0,5.0,,"
    Kevin VanOrd
  ","May 11, 2011 at 11:08AM PDT"
Lego Pirates of the Caribbean: The Video Game Review,DS,0,0,Fair,6,3.0,5.0,,"
    Kevin VanOrd
  ","May 11, 2011 at 11:07AM PDT"
Brink Review,X360,6,0,Fair,6,4.0,5.0,"May 9, 2011","
    Chris Watters
  ","May 10, 2011 at 7:28PM PDT"
Lego Pirates of the Caribbean: The Video Game Review,PS3,0,0,Fair,6.5,3.0,4.0,"May 10, 2011","
    Kevin VanOrd
  ","May 10, 2011 at 9:22AM PDT"
Lego Pirates of the Caribbean: The Video Game Review,X360,0,0,Fair,6.5,3.0,4.0,"May 10, 2011","
    Kevin VanOrd
  ","May 10, 2011 at 9:22AM PDT"
Lego Pirates of the Caribbean: The Video Game Review,WII,0,3,Fair,6.5,3.0,4.0,"May 10, 2011","
    Kevin VanOrd
  ","May 10, 2011 at 9:22AM PDT"
Bangai-O HD: Missile Fury Review,X360,0,0,Good,7.5,4.0,3.0,,"
    Britton Peele
  ","May 9, 2011 at 6:37PM PDT"
Thor: God of Thunder Review,PS3,0,0,Terrible,2,1.0,5.0,"May 3, 2011","
    Tom Mc Shea
  ","May 9, 2011 at 6:20PM PDT"
Thor: God of Thunder Review,X360,2,2,Terrible,2,1.0,5.0,"May 3, 2011","
    Tom Mc Shea
  ","May 9, 2011 at 6:20PM PDT"
Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists Review,PC,0,1,Great,8,3.0,1.0,,"
    Nathan Meunier
  ","May 6, 2011 at 5:45PM PDT"
Thor: God of Thunder Review,DS,1,0,Mediocre,5.5,2.0,2.0,,"
    Carolyn Petit
  ","May 5, 2011 at 6:10PM PDT"
Black Mirror III Review,PC,1,4,Mediocre,5.5,3.0,4.0,,"
    Brett Todd
  ","May 5, 2011 at 5:47PM PDT"
Sanctum Review,PC,3,0,Good,7,3.0,2.0,"Apr 17, 2011","
    Kevin VanOrd
  ","May 4, 2011 at 5:38PM PDT"
Operation Flashpoint: Red River Review,X360,1,2,Fair,6.5,3.0,2.0,"Jun 6, 2011","
    Joseph Barron
  ","May 4, 2011 at 6:53AM PDT"
Operation Flashpoint: Red River Review,PS3,2,2,Fair,6.5,3.0,2.0,"Jun 6, 2011","
    Joseph Barron
  ","May 4, 2011 at 6:53AM PDT"
Operation Flashpoint: Red River Review,PC,2,3,Fair,6.5,3.0,2.0,"Jun 6, 2011","
    Joseph Barron
  ","May 4, 2011 at 6:53AM PDT"
Capsized Review,PC,1,0,Great,8,3.0,2.0,"Apr 29, 2011","
    Chris Watters
  ","May 3, 2011 at 7:33PM PDT"
Section 8: Prejudice Review,PC,3,0,Good,7.5,4.0,2.0,,"
    Tom Mc Shea
  ","May 3, 2011 at 6:40PM PDT"
Your Doodles Are Bugged Review,PC,0,0,Good,7,3.0,3.0,,"
    Carolyn Petit
  ","May 2, 2011 at 6:38PM PDT"
Men of War: Assault Squad Review,PC,2,20,Great,8,4.0,2.0,,"
    Brett Todd
  ","April 29, 2011 at 10:11PM PDT"
Darkspore Review,PC,4,2,Good,7.5,4.0,3.0,"Apr 25, 2011","
    Kevin VanOrd
  ","April 29, 2011 at 6:09PM PDT"
Nin2-Jump Review,X360,0,0,Good,7,3.0,3.0,,"
    Heidi Kemps
  ","April 29, 2011 at 5:02PM PDT"
Gem Miner: Dig Deeper Review,AND,0,3,Good,7,3.0,3.0,,"
    Gamespot Staff
  ","April 29, 2011 at 1:04PM PDT"
Doodle Jump for Android Review,AND,0,1,Great,8,2.0,1.0,,"
    Chris Reed
  ","April 29, 2011 at 12:40PM PDT"
Cut the Rope Review,IOS,4,5,Great,8,4.0,1.0,,"
    Chris Reed
  ","April 29, 2011 at 12:33PM PDT"
Chaos Rings Review,IOS,9,1,Superb,9,4.0,3.0,,"
    Andrew Podolsky
  ","April 29, 2011 at 12:21PM PDT"
Angry Birds Review,IOS,14,17,Superb,9,3.0,2.0,,"
    Andrew Podolsky
  ","April 29, 2011 at 12:11PM PDT"
Outland Review,X360,4,5,Superb,9,5.0,1.0,"Apr 27, 2011","
    Tom Mc Shea
  ","April 28, 2011 at 6:23PM PDT"
Final Fantasy IV: The Complete Collection Review,PSP,3,3,Great,8,5.0,2.0,,"
    Shiva Stella
  ","April 28, 2011 at 6:18PM PDT"
Cargo: The Quest for Gravity Review,PC,0,0,Mediocre,5.5,3.0,4.0,"Apr 21, 2011","
    Carolyn Petit
  ","April 27, 2011 at 6:45PM PDT"
Rabbids Travel in Time 3D Review,3DS,1,0,Fair,6,2.0,4.0,,"
    Chris Watters
  ","April 27, 2011 at 5:38PM PDT"
The Fancy Pants Adventures Review,X360,0,0,Good,7,3.0,2.0,,"
    Kevin VanOrd
  ","April 26, 2011 at 5:48PM PDT"
Conduit 2 Review,WII,0,0,Good,7,4.0,2.0,"Apr 19, 2011","
    Tom Mc Shea
  ","April 25, 2011 at 5:51PM PDT"
Yar's Revenge Review,X360,0,2,Mediocre,5,2.0,3.0,,"
    Heidi Kemps
  ","April 22, 2011 at 5:14PM PDT"
The Next Big Thing Review,PC,2,0,Fair,6,2.0,2.0,"Apr 21, 2011","
    Carolyn Petit
  ","April 21, 2011 at 7:44PM PDT"
Combat of Giants: Dinosaurs 3D Review,3DS,1,0,Poor,4.5,2.0,3.0,,"
    Jane Douglas
  ","April 21, 2011 at 1:21PM PDT"
Dungeon Hunter: Alliance Review,PS3,6,2,Good,7,3.0,3.0,,"
    Kevin VanOrd
  ","April 20, 2011 at 5:57PM PDT"
WSC Real 11: World Snooker Championship Review,X360,0,11,Good,7.5,4.0,3.0,,"
    Joseph Barron
  ","April 20, 2011 at 10:11AM PDT"
WSC Real 11: World Snooker Championship Review,PS3,0,32,Good,7.5,4.0,4.0,,"
    Joseph Barron
  ","April 20, 2011 at 10:10AM PDT"
Michael Jackson: The Experience Review,PS3,0,6,Good,7,3.0,3.0,,"
    Mark Walton
  ","April 20, 2011 at 8:38AM PDT"
Section 8: Prejudice Review,X360,1,1,Good,7.5,4.0,2.0,"Apr 20, 2011","
    Tom Mc Shea
  ","April 20, 2011 at 7:56AM PDT"
Mortal Kombat Review,X360,10,6,Great,8.5,5.0,2.0,"Apr 19, 2011","
    Mark Walton
  ","April 19, 2011 at 7:00PM PDT"
Mortal Kombat Review,PS3,8,2,Great,8.5,5.0,2.0,"Apr 19, 2011","
    Mark Walton
  ","April 19, 2011 at 6:59PM PDT"
Portal 2 Review,PC,14,23,Superb,9,4.0,2.0,"Apr 18, 2011","
    Chris Watters
  ","April 19, 2011 at 6:25PM PDT"
Portal 2 Review,PS3,4,0,Superb,9,5.0,2.0,"Apr 18, 2011","
    Chris Watters
  ","April 19, 2011 at 1:26PM PDT"
Portal 2 Review,X360,3,2,Superb,9,4.0,2.0,"Apr 18, 2011","
    Chris Watters
  ","April 19, 2011 at 7:47AM PDT"
Magicka: Vietnam Review,PC,4,0,Mediocre,5.5,2.0,3.0,,"
    Brett Todd
  ","April 18, 2011 at 6:00PM PDT"
Anomaly: Warzone Earth Review,PC,5,2,Great,8.5,4.0,1.0,,"
    Nathan Meunier
  ","April 18, 2011 at 5:44PM PDT"
Patapon 3 Review,PSP,0,1,Great,8,5.0,3.0,"Apr 12, 2011","
    Justin Calvert
  ","April 18, 2011 at 8:23AM PDT"
IL-2 Sturmovik: Cliffs of Dover Review,PC,2,5,Poor,4,2.0,3.0,,"
    Kevin VanOrd
  ","April 15, 2011 at 6:33PM PDT"
Stardrone Review,PS3,1,0,Fair,6,3.0,2.0,,"
    Heidi Kemps
  ","April 15, 2011 at 6:04PM PDT"
Rio Review,X360,0,4,Fair,6,2.0,2.0,,"
    Carolyn Petit
  ","April 15, 2011 at 5:07PM PDT"
Might & Magic: Clash of Heroes Review,X360,0,1,Great,8,3.0,1.0,,"
    Brett Todd
  ","April 14, 2011 at 6:28PM PDT"
Might & Magic: Clash of Heroes Review,PS3,8,0,Great,8,3.0,1.0,,"
    Brett Todd
  ","April 14, 2011 at 6:22PM PDT"
SOCOM 4: U.S. Navy SEALs Review,PS3,2,3,Good,7.5,5.0,3.0,"Apr 19, 2011","
    Chris Watters
  ","April 14, 2011 at 5:53PM PDT"
Michael Jackson: The Experience Review,X360,0,2,Fair,6,2.0,4.0,,"
    Mark Walton
  ","April 14, 2011 at 3:00PM PDT"
The Sims Medieval Review,PC,1,17,Fair,6,3.0,3.0,"Mar 22, 2011","
    Kevin VanOrd
  ","April 12, 2011 at 6:14PM PDT"
Red Faction: Battlegrounds Review,PS3,0,0,Mediocre,5,1.0,3.0,,"
    Tom Mc Shea
  ","April 12, 2011 at 6:08PM PDT"
Shadow Harvest: Phantom Ops Review,PC,5,2,Terrible,2.5,2.0,5.0,,"
    Brett Todd
  ","April 11, 2011 at 6:53PM PDT"
Stacking: The Lost Hobo King Review,PS3,0,0,Fair,6,3.0,2.0,,"
    Carolyn Petit
  ","April 11, 2011 at 6:24PM PDT"
Stacking: The Lost Hobo King Review,X360,0,0,Fair,6,3.0,2.0,,"
    Carolyn Petit
  ","April 11, 2011 at 6:23PM PDT"
Moon Diver Review,PS3,0,0,Fair,6.5,3.0,4.0,,"
    Jeremiah Johnson
  ","April 11, 2011 at 6:00PM PDT"
Strania Review,X360,0,0,Fair,6,3.0,3.0,,"
    Nathan Meunier
  ","April 11, 2011 at 5:39PM PDT"
Madden NFL Football Review,3DS,0,0,Poor,4,1.0,5.0,,"
    Tom Mc Shea
  ","April 8, 2011 at 6:03PM PDT"
Islands of Wakfu Review,X360,0,0,Mediocre,5,3.0,4.0,,"
    Carolyn Petit
  ","April 7, 2011 at 6:37PM PDT"
The Dishwasher: Vampire Smile Review,X360,0,2,Superb,9,4.0,1.0,"Apr 6, 2011","
    Kevin VanOrd
  ","April 5, 2011 at 6:25PM PDT"
PlayStation Move Heroes Review,PS3,0,0,Poor,4.5,2.0,4.0,,"
    Tom Mc Shea
  ","April 5, 2011 at 6:00PM PDT"
Ridge Racer 3D Review,3DS,4,6,Good,7,3.0,2.0,,"
    Mark Walton
  ","April 4, 2011 at 6:39PM PDT"
Tiger Woods PGA Tour 12: The Masters Review,WII,0,7,Great,8,4.0,1.0,,"
    Brett Todd
  ","April 4, 2011 at 6:33PM PDT"
Monster Tale Review,DS,0,1,Great,8,4.0,2.0,,"
    Heidi Kemps
  ","April 4, 2011 at 6:32PM PDT"
Rayman 3D Review,3DS,7,2,Good,7,3.0,3.0,,"
    Jeremiah Johnson
  ","April 4, 2011 at 6:25PM PDT"
NASCAR 2011: The Game Review,X360,0,1,Fair,6,3.0,3.0,"Mar 29, 2011","
    Kevin VanOrd
  ","April 4, 2011 at 6:19PM PDT"
NASCAR 2011: The Game Review,PS3,1,1,Fair,6,3.0,3.0,"Mar 29, 2011","
    Kevin VanOrd
  ","April 4, 2011 at 6:19PM PDT"
WWE All Stars Review,WII,0,10,Fair,6,3.0,5.0,,"
    Chris Watters
  ","April 1, 2011 at 7:06PM PDT"
WWE All Stars Review,X360,2,2,Good,7,4.0,4.0,"Mar 28, 2011","
    Chris Watters
  ","April 1, 2011 at 7:06PM PDT"
WWE All Stars Review,PS3,0,7,Good,7,4.0,4.0,"Mar 28, 2011","
    Chris Watters
  ","April 1, 2011 at 7:06PM PDT"
Samurai Warriors Chronicles Review,3DS,3,0,Poor,4.5,1.0,3.0,,"
    Carolyn Petit
  ","April 1, 2011 at 6:49PM PDT"
Tiger Woods PGA Tour 12: The Masters Review,PS3,0,5,Great,8,3.0,2.0,,"
    Brett Todd
  ","April 1, 2011 at 6:37PM PDT"
Tiger Woods PGA Tour 12: The Masters Review,X360,0,10,Great,8,3.0,1.0,,"
    Brett Todd
  ","April 1, 2011 at 6:35PM PDT"
Shift 2: Unleashed Review,PS3,0,2,Good,7.5,4.0,2.0,,"
    Joseph Barron
  ","April 1, 2011 at 10:19AM PDT"
Shift 2: Unleashed Review,X360,2,2,Good,7.5,4.0,2.0,,"
    Joseph Barron
  ","April 1, 2011 at 10:17AM PDT"
Lego Star Wars III: The Clone Wars Review,X360,0,5,Fair,6.5,2.0,5.0,,"
    Tom Mc Shea
  ","April 1, 2011 at 9:26AM PDT"
Lego Star Wars III: The Clone Wars Review,PS3,0,0,Fair,6.5,2.0,5.0,,"
    Tom Mc Shea
  ","April 1, 2011 at 9:25AM PDT"
Lego Star Wars III: The Clone Wars Review,WII,1,0,Fair,6.5,2.0,5.0,,"
    Tom Mc Shea
  ","March 31, 2011 at 6:18PM PDT"
Lego Star Wars III: The Clone Wars Review,PC,1,0,Fair,6.5,2.0,5.0,,"
    Tom Mc Shea
  ","March 31, 2011 at 6:18PM PDT"
Swarm Review,PS3,0,0,Good,7.5,3.0,2.0,,"
    Nathan Meunier
  ","March 31, 2011 at 6:11PM PDT"
Mass Effect 2: Arrival Review,PC,0,0,Mediocre,5,2.0,3.0,,"
    Kevin VanOrd
  ","March 31, 2011 at 6:10PM PDT"
Swarm Review,X360,0,0,Good,7.5,3.0,2.0,,"
    Nathan Meunier
  ","March 31, 2011 at 6:10PM PDT"
Mass Effect 2: Arrival Review,X360,0,0,Mediocre,5,2.0,3.0,,"
    Kevin VanOrd
  ","March 31, 2011 at 6:10PM PDT"
The Sims 3 Review,3DS,0,2,Mediocre,5.5,2.0,3.0,"May 5, 2009","
    Kevin VanOrd
  ","March 30, 2011 at 6:16PM PDT"
Bust-A-Move Universe Review,3DS,0,1,Mediocre,5,1.0,5.0,,"
    Justin Calvert
  ","March 30, 2011 at 6:15PM PDT"
Ghostbusters: Sanctum of Slime Review,X360,0,0,Poor,4.5,2.0,4.0,,"
    Jeremiah Johnson
  ","March 30, 2011 at 6:05PM PDT"
Ghostbusters: Sanctum of Slime Review,PS3,0,0,Mediocre,5,2.0,4.0,,"
    Jeremiah Johnson
  ","March 30, 2011 at 6:05PM PDT"
Ghostbusters: Sanctum of Slime Review,PC,0,0,Poor,4,1.0,4.0,,"
    Jeremiah Johnson
  ","March 30, 2011 at 6:04PM PDT"
Asphalt 3D Review,3DS,1,1,Mediocre,5.5,3.0,2.0,,"
    Carolyn Petit
  ","March 29, 2011 at 6:11PM PDT"
Assassin's Creed: Brotherhood Review,PC,5,2,Great,8.5,5.0,3.0,,"
    Kevin VanOrd
  ","March 28, 2011 at 6:30PM PDT"
Post Apocalyptic Mayhem Review,PC,1,2,Bad,3,,,,,
MLB 11: The Show Review,PSP,0,2,Good,7,3.0,4.0,,"
    Brett Todd
  ","March 28, 2011 at 5:35PM PDT"
Hard Corps: Uprising Review,PS3,0,0,Good,7,3.0,2.0,,"
    Nathan Meunier
  ","March 28, 2011 at 2:27PM PDT"
MotorStorm: Apocalypse Review,PS3,3,4,Great,8.5,4.0,2.0,"May 3, 2011","
    Mark Walton
  ","March 28, 2011 at 4:40AM PDT"
Tom Clancy's Ghost Recon: Shadow Wars Review,3DS,2,2,Great,8,5.0,2.0,"Mar 22, 2011","
    Chris Watters
  ","March 27, 2011 at 12:01AM PDT"
Nintendogs + Cats: Toy Poodle & New Friends Review,3DS,0,1,Good,7.5,4.0,4.0,"Mar 27, 2011","
    Carolyn Petit
  ","March 25, 2011 at 7:19PM PDT"
Nintendogs + Cats: Golden Retriever and New Friends Review,3DS,3,0,Good,7.5,4.0,4.0,"Mar 27, 2011","
    Carolyn Petit
  ","March 25, 2011 at 7:19PM PDT"
Nintendogs + Cats: French Bulldog and New Friends Review,3DS,0,0,Good,7.5,4.0,4.0,"Mar 27, 2011","
    Carolyn Petit
  ","March 25, 2011 at 7:18PM PDT"
TNT Racers Review,PSP,0,1,Good,7,4.0,2.0,,"
    Brett Todd
  ","March 25, 2011 at 6:53PM PDT"
Pro Evolution Soccer 2011 3D Review,3DS,0,15,Good,7,3.0,5.0,,"
    Guy Cocker
  ","March 25, 2011 at 6:39PM PDT"
Super Street Fighter IV: 3D Edition Review,3DS,2,4,Great,8.5,5.0,2.0,"Apr 27, 2010","
    Mark Walton
  ","March 25, 2011 at 6:16PM PDT"
Super Monkey Ball 3D Review,3DS,2,1,Mediocre,5,2.0,3.0,"Mar 27, 2011","
    Chris Watters
  ","March 25, 2011 at 12:04PM PDT"
Lego Star Wars III: Attack of the Clones Review,3DS,2,2,Fair,6,2.0,4.0,"Mar 22, 2011","
    Tom Mc Shea
  ","March 25, 2011 at 10:43AM PDT"
Splinter Cell 3D Review,3DS,3,1,Mediocre,5.5,2.0,2.0,,"
    Jane Douglas
  ","March 25, 2011 at 10:43AM PDT"
Steel Diver Review,3DS,1,1,Poor,4.5,2.0,4.0,"Mar 27, 2011","
    Tom Mc Shea
  ","March 25, 2011 at 10:35AM PDT"
Pilotwings Resort Review,3DS,2,4,Fair,6.5,3.0,3.0,"Mar 27, 2011","
    Justin Calvert
  ","March 25, 2011 at 9:59AM PDT"
The 3rd Birthday Review,PSP,3,5,Fair,6,3.0,3.0,"Mar 29, 2011","
    Carolyn Petit
  ","March 25, 2011 at 9:05AM PDT"
Crysis 2 Review,PS3,10,9,Great,8.5,5.0,3.0,"Mar 22, 2011","
    Kevin VanOrd
  ","March 24, 2011 at 5:37PM PDT"
Slam Bolt Scrappers Review,PS3,0,0,Fair,6.5,2.0,3.0,,"
    Jeremiah Johnson
  ","March 23, 2011 at 6:23PM PDT"
Crysis 2 Review,PC,22,4,Great,8.5,5.0,3.0,"Mar 22, 2011","
    Kevin VanOrd
  ","March 23, 2011 at 6:17PM PDT"
Top Spin 4 Review,PS3,1,3,Superb,9,5.0,2.0,,"
    Mark Walton
  ","March 23, 2011 at 1:41PM PDT"
Top Spin 4 Review,X360,2,5,Superb,9,5.0,1.0,,"
    Mark Walton
  ","March 23, 2011 at 1:41PM PDT"
Top Spin 4 Review,WII,0,6,Poor,4,1.0,4.0,,"
    Mark Walton
  ","March 23, 2011 at 1:17PM PDT"
Rift Review,PC,12,5,Great,8,5.0,3.0,"Mar 1, 2011","
    Kevin VanOrd
  ","March 22, 2011 at 6:14PM PDT"
Crysis 2 Review,X360,8,0,Great,8.5,5.0,3.0,"Mar 22, 2011","
    Kevin VanOrd
  ","March 22, 2011 at 9:00AM PDT"
Yakuza 4 Review,PS3,4,8,Great,8,4.0,3.0,"Mar 15, 2011","
    Carolyn Petit
  ","March 21, 2011 at 7:48PM PDT"
Battle: Los Angeles Review,X360,3,5,Bad,3,1.0,4.0,,"
    Brett Todd
  ","March 21, 2011 at 7:09PM PDT"
Major League Baseball 2K11 Review,WII,0,0,Poor,4.5,1.0,5.0,,"
    Brett Todd
  ","March 21, 2011 at 6:47PM PDT"
MotoGP 10/11 Review,PS3,2,4,Fair,6,3.0,4.0,,"
    Joseph Barron
  ","March 18, 2011 at 3:05PM PDT"
MotoGP 10/11 Review,X360,0,0,Fair,6,3.0,4.0,,"
    Joseph Barron
  ","March 18, 2011 at 3:01PM PDT"
Shogun 2: Total War Review,PC,19,30,Superb,9,5.0,2.0,,"
    Daniel Shannon
  ","March 17, 2011 at 6:09PM PDT"
Major League Baseball 2K11 Review,X360,2,1,Good,7.5,3.0,1.0,,"
    Brett Todd
  ","March 17, 2011 at 6:08PM PDT"
Major League Baseball 2K11 Review,PS3,0,0,Good,7.5,3.0,1.0,,"
    Brett Todd
  ","March 17, 2011 at 6:08PM PDT"
Homefront Review,X360,6,3,Good,7,3.0,3.0,"Mar 14, 2011","
    Chris Watters
  ","March 15, 2011 at 7:16PM PDT"
Homefront Review,PS3,1,0,Good,7,3.0,3.0,"Mar 14, 2011","
    Chris Watters
  ","March 15, 2011 at 7:16PM PDT"
Homefront Review,PC,8,4,Good,7,3.0,3.0,"Mar 14, 2011","
    Chris Watters
  ","March 15, 2011 at 7:16PM PDT"
MLB 11: The Show Review,PS3,0,2,Great,8,4.0,2.0,,"
    Brett Todd
  ","March 15, 2011 at 6:45PM PDT"
Trackmania: Build to Race Review,WII,0,0,Good,7,3.0,2.0,,"
    Jane Douglas
  ","March 15, 2011 at 1:48PM PDT"
Okamiden Review,DS,0,0,Good,7.5,4.0,3.0,"Mar 10, 2011","
    Tom Mc Shea
  ","March 15, 2011 at 10:30AM PDT"
Dissidia 012: Duodecim Final Fantasy Review,PSP,2,7,Great,8,5.0,3.0,"Mar 21, 2011","
    Kevin VanOrd
  ","March 15, 2011 at 9:10AM PDT"
Full House Poker Review,X360,0,1,Good,7.5,5.0,1.0,,"
    Justin Calvert
  ","March 14, 2011 at 6:13PM PDT"
Dragon Quest VI: Realms of Revelation Review,DS,2,2,Good,7.5,5.0,2.0,,"
    Shiva Stella
  ","March 14, 2011 at 6:09PM PDT"
Back to the Future: The Game - Episode II: Get Tannen! Review,PC,1,1,Good,7.5,3.0,1.0,,"
    Nathan Meunier
  ","March 8, 2011 at 7:46PM PST"
Dragon Age II Review,PC,16,4,Great,8,5.0,3.0,"Mar 8, 2011","
    Kevin VanOrd
  ","March 8, 2011 at 9:00AM PST"
Dragon Age II Review,X360,10,0,Great,8,5.0,3.0,"Mar 8, 2011","
    Kevin VanOrd
  ","March 8, 2011 at 9:00AM PST"
Dragon Age II Review,PS3,9,8,Great,8,5.0,3.0,"Mar 8, 2011","
    Kevin VanOrd
  ","March 8, 2011 at 9:00AM PST"
"Warhammer 40,000: Dawn of War II - Retribution Review",PC,3,1,Great,8.5,3.0,2.0,,"
    Daniel Shannon
  ","March 7, 2011 at 5:29PM PST"
Fable III: Traitor's Keep Quest Pack Review,X360,0,3,Good,7,3.0,2.0,,"
    Tom Mc Shea
  ","March 4, 2011 at 5:49PM PST"
Torchlight Review,X360,12,1,Great,8,5.0,2.0,,"
    Brett Todd
  ","March 4, 2011 at 4:58PM PST"
Pokemon Black Review,DS,8,10,Good,7.5,3.0,1.0,,"
    Mark Walton
  ","March 4, 2011 at 11:05AM PST"
Pokemon White Review,DS,13,9,Good,7.5,3.0,1.0,,"
    Mark Walton
  ","March 4, 2011 at 11:05AM PST"
Rango: The Video Game Review,X360,0,3,Good,7,3.0,3.0,,"
    Chris Watters
  ","March 3, 2011 at 6:31PM PST"
Rango: The Video Game Review,PS3,1,6,Good,7,3.0,3.0,,"
    Chris Watters
  ","March 3, 2011 at 6:31PM PST"
Dead Space 2: Severed Review,X360,1,0,Good,7,3.0,3.0,,"
    Carolyn Petit
  ","March 3, 2011 at 6:23PM PST"
Dead Space 2: Severed Review,PS3,2,0,Good,7,3.0,3.0,,"
    Carolyn Petit
  ","March 3, 2011 at 6:23PM PST"
Cities in Motion Review,PC,1,4,Good,7.5,3.0,2.0,,"
    Brett Todd
  ","March 2, 2011 at 6:29PM PST"
Acceleration of Suguri X Edition Review,PS3,0,0,Good,7,3.0,2.0,,"
    Nathan Meunier
  ","March 2, 2011 at 6:27PM PST"
Fight Night Round 4 Review,PS3,0,1,Great,8,5.0,2.0,"Jun 23, 2009","
    Justin Calvert
  ","March 2, 2011 at 9:43AM PST"
PixelJunk Shooter 2 Review,PS3,0,1,Good,7.5,4.0,2.0,,"
    Tom Mc Shea
  ","March 1, 2011 at 6:33PM PST"
